CountyName,StateName,StateFIPS,CountyFIPS,MetroName_Zillow,CBSAName,CountyRegionID_Zillow,MetroRegionID_Zillow,FIPS,CBSACode
Hudson,New Jersey,34,17,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1106,394913,34017,35620
Morris,New Jersey,34,27,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1241,394913,34027,35620
Nassau,New York,36,59,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1252,394913,36059,35620
Orange,New York,36,71,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1290,394913,36071,35620
Putnam,New York,36,79,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1343,394913,36079,35620
Queens,New York,36,81,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1347,394913,36081,35620
Essex,New Jersey,34,13,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",504,394913,34013,35620
Kings,New York,36,47,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",581,394913,36047,35620
Ocean,New Jersey,34,29,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",659,394913,34029,35620
Union,New Jersey,34,39,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",771,394913,34039,35620
Bergen,New Jersey,34,3,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",874,394913,34003,35620
Hunterdon,New Jersey,34,19,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2729,394913,34019,35620
Middlesex,New Jersey,34,23,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2802,394913,34023,35620
Westchester,New York,36,119,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",3148,394913,36119,35620
Pike,Pennsylvania,42,103,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",280,394913,42103,35620
Bronx,New York,36,5,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",401,394913,36005,35620
Monmouth,New Jersey,34,25,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2441,394913,34025,35620
New York,New York,36,61,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2452,394913,36061,35620
Richmond,New York,36,85,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2511,394913,36085,35620
Rockland,New York,36,87,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2515,394913,36087,35620
Somerset,New Jersey,34,35,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2552,394913,34035,35620
Sussex,New Jersey,34,37,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1413,394913,34037,35620
Passaic,New Jersey,34,31,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1964,394913,34031,35620
Suffolk,New York,36,103,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2046,394913,36103,35620
Dutchess,New York,36,27,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2255,394913,36027,35620
Orange,California,6,59,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",1286,753899,6059,31080
Los Angeles,California,6,37,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",3101,753899,6037,31080
Grundy,Illinois,17,63,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1068,394463,17063,16980
Jasper,Indiana,18,73,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1117,394463,18073,16980
Newton,Indiana,18,111,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1264,394463,18111,16980
Porter,Indiana,18,127,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1330,394463,18127,16980
DeKalb,Illinois,17,37,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1657,394463,17037,16980
Cook,Illinois,17,31,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",139,394463,17031,16980
Kane,Illinois,17,89,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",197,394463,17089,16980
Lake,Illinois,17,97,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",220,394463,17097,16980
Lake,Indiana,18,89,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",221,394463,18089,16980
Will,Illinois,17,197,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",330,394463,17197,16980
Du Page,Illinois,17,43,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1682,394463,17043,16980
Kendall,Illinois,17,93,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1835,394463,17093,16980
Kenosha,Wisconsin,55,59,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1837,394463,55059,16980
McHenry,Illinois,17,111,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1922,394463,17111,16980
Parker,Texas,48,367,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1308,394514,48367,19100
Johnson,Texas,48,251,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1827,394514,48251,19100
Kaufman,Texas,48,257,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1833,394514,48257,19100
Tarrant,Texas,48,439,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2049,394514,48439,19100
Denton,Texas,48,121,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",988,394514,48121,19100
Hunt,Texas,48,231,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",185,394514,48231,19100
Wise,Texas,48,497,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",333,394514,48497,19100
Ellis,Texas,48,139,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",498,394514,48139,19100
Collin,Texas,48,85,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",951,394514,48085,19100
Dallas,Texas,48,113,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",978,394514,48113,19100
Rockwall,Texas,48,397,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2516,394514,48397,19100
Somervell,Texas,48,425,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2848,394514,48425,19100
Hood,Texas,48,221,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",184,394514,48221,19100
Chester,Pennsylvania,42,29,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1611,394974,42029,37980
Delaware,Pennsylvania,42,45,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2251,394974,42045,37980
Burlington,New Jersey,34,5,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2896,394974,34005,37980
Gloucester,New Jersey,34,15,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2929,394974,34015,37980
Montgomery,Pennsylvania,42,91,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2981,394974,42091,37980
New Castle,Delaware,10,3,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2986,394974,10003,37980
Philadelphia,Pennsylvania,42,101,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3175,394974,42101,37980
Bucks,Pennsylvania,42,17,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",414,394974,42017,37980
Cecil,Maryland,24,15,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",429,394974,24015,37980
Salem,New Jersey,34,33,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",702,394974,34033,37980
Camden,New Jersey,34,7,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",911,394974,34007,37980
Harris,Texas,48,201,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1090,394692,48201,26420
Waller,Texas,48,473,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1467,394692,48473,26420
Liberty,Texas,48,291,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1861,394692,48291,26420
Brazoria,Texas,48,39,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2151,394692,48039,26420
Chambers,Texas,48,71,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2182,394692,48071,26420
Fort Bend,Texas,48,157,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2698,394692,48157,26420
Galveston,Texas,48,167,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2702,394692,48167,26420
Montgomery,Texas,48,339,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2983,394692,48339,26420
Austin,Texas,48,15,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",844,394692,48015,26420
Warren,Virginia,51,187,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1483,395209,51187,47900
Calvert,Maryland,24,9,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1581,395209,24009,47900
Charles,Maryland,24,17,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1607,395209,24017,47900
Fairfax,Virginia,51,59,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1694,395209,51059,47900
Loudoun,Virginia,51,107,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1887,395209,51107,47900
Culpeper,Virginia,51,47,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2240,395209,51047,47900
Clarke,Virginia,51,43,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",943,395209,51043,47900
Prince William,Virginia,51,153,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3247,395209,51153,47900
Alexandria City,Virginia,51,510,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3253,395209,51510,47900
Falls Church City,Virginia,51,610,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3272,395209,51610,47900
Manassas Park City,Virginia,51,685,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3282,395209,51685,47900
Fredericksburg City,Virginia,51,630,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3283,395209,51630,47900
District of Columbia,District of Columbia,11,1,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3289,395209,11001,47900
Montgomery,Maryland,24,31,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2975,395209,24031,47900
Fairfax City,Virginia,51,600,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3162,395209,51600,47900
Rappahannock,Virginia,51,157,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3183,395209,51157,47900
Spotsylvania,Virginia,51,177,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3193,395209,51177,47900
Manassas City,Virginia,51,683,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3213,395209,51683,47900
Prince Georges,Maryland,24,33,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3246,395209,24033,47900
Fauquier,Virginia,51,61,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2261,395209,51061,47900
Stafford,Virginia,51,179,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2556,395209,51179,47900
Arlington,Virginia,51,13,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2619,395209,51013,47900
Frederick,Maryland,24,21,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2699,395209,24021,47900
Jefferson,West Virginia,54,37,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2757,395209,54037,47900
Broward,Florida,12,11,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1561,394856,12011,33100
