Month,CountyFIPS,CountyName,Nielsen HH Rank,Hotness Rank Within CBSA,CBSACode,CBSATitle,Hotness Rank ,Hotness Rank M/M,Hotness Rank Y/Y,Hotness Score,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Median DOM (vs CBSA),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),Views Per Property  (vs CBSA),Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Median Listing Price  (vs CBSA),Quality Flag
201812,24510,"Baltimore city, MD",97,6,12580,"Baltimore-Columbia-Towson, MD",670,29,17,36.836837,69.2692692692693,4.4044044044044,72.00,6.75,0.1034,-5.00,-0.0649,-8.00,0.00,0.0566,0.1667,0.4590,0.5283,169900.000000,-0.0556,0.1334,0.5879,0.5701,0
201812,42007,"Beaver, PA",353,2,38300,"Pittsburgh, PA",461,-94,69,52.902903,43.2432432432432,62.5625625625626,86.50,14.75,0.2056,-1.50,-0.0170,6.50,-1.50,-0.0470,0.3396,1.1639,0.9467,149900.000000,-0.0298,0.0715,0.5187,0.8670,0
201812,42011,"Berks, PA",170,1,39740,"Reading, PA",285,-9,243,66.766767,51.0510510510511,82.4824824824825,81.00,8.00,0.1096,-15.00,-0.1563,1.00,0.00,-0.0588,0.4667,1.4426,1.0000,199900.000000,-0.0476,0.1423,0.6917,1.0000,0
201812,36019,"Clinton, NY",678,1,38460,"Plattsburgh, NY",785,31,15,27.877878,6.90690690690691,48.8488488488488,123.00,4.50,0.0380,-0.50,-0.0040,43.00,0.50,0.0517,0.3261,1.0000,0.9683,160000.000000,-0.1059,0.1437,0.5536,1.0000,0
201812,13045,"Carroll, GA",576,13,12060,"Atlanta-Sandy Springs-Roswell, GA",491,45,-70,51.151151,78.1781781781782,24.1241241241241,67.00,1.00,0.0152,-5.00,-0.0694,-13.00,6.00,-0.0980,0.0000,0.7541,0.7667,219900.000000,0.0169,0.0476,0.7609,0.7061,0
201812,19049,"Dallas, IA",702,3,19780,"Des Moines-West Des Moines, IA",968,-9,-107,6.106106,5.70570570570571,6.50650650650651,125.00,16.75,0.1547,24.00,0.2376,45.00,30.00,0.0164,0.0690,0.5082,0.6327,329850.000000,-0.0002,-0.0099,1.1413,1.1785,0
201812,32510,"Carson City, NV",902,1,16180,"Carson City, NV",127,-31,-54,80.830831,69.2692692692693,92.3923923923924,72.00,12.25,0.2050,4.00,0.0588,-8.00,0.00,-0.0278,0.0714,1.7213,1.0000,349925.000000,0.0007,0.0001,1.2108,1.0000,0
201812,21059,"Daviess, KY",587,1,36980,"Owensboro, KY",458,40,91,53.103103,69.2692692692693,36.9369369369369,72.00,11.00,0.1803,-3.00,-0.0400,-8.00,-2.00,0.0909,0.3846,0.8852,1.0385,173709.000000,0.0224,0.0885,0.6011,1.0241,0
201812,40027,"Cleveland, OK",250,3,36420,"Oklahoma City, OK",469,-28,66,52.452452,58.1581581581582,46.7467467467468,76.00,9.50,0.1429,-3.00,-0.0380,-4.00,6.00,-0.0167,0.3409,0.9672,0.9672,239000.000000,-0.0039,0.0622,0.8270,1.0214,0
201812,42045,"Delaware, PA",122,2,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",133,-30,78,79.87988,60.8608608608609,98.8988988988989,75.00,11.00,0.1719,-6.00,-0.0741,-5.00,-1.00,-0.0181,0.3878,2.2295,1.3204,225000.000000,-0.0758,0.0262,0.7785,0.9000,0
201812,47031,"Coffee, TN",904,1,46100,"Tullahoma-Manchester, TN",278,3,-174,67.917918,76.0760760760761,59.7597597597598,68.00,7.00,0.1148,8.50,0.1429,-12.00,-8.00,-0.0417,0.0147,1.1311,1.1311,216400.000000,0.0310,0.1395,0.7488,0.9020,0
201812,20045,"Douglas, KS",504,1,29940,"Lawrence, KS",182,-68,24,76.326326,63.3633633633634,89.2892892892893,74.00,12.50,0.2033,-8.00,-0.0976,-6.00,0.00,-0.0876,-0.1239,1.6230,1.0000,307500.000000,0.0607,0.1093,1.0640,1.0000,0
201812,31055,"Douglas, NE",120,1,36540,"Omaha-Council Bluffs, NE-IA",63,-9,17,87.337337,99.3993993993994,75.2752752752753,48.00,9.00,0.2308,-4.00,-0.0769,-32.00,-7.00,-0.0122,0.1739,1.3279,1.1096,279400.000000,0.0644,0.0160,0.9668,1.0014,0
201812,29071,"Franklin, MO",583,6,41180,"St. Louis, MO-IL",635,40,-123,39.289289,28.9289289289289,49.6496496496497,96.00,7.00,0.0787,7.00,0.0787,16.00,18.00,0.0167,0.0893,1.0000,0.8472,212450.000000,-0.0074,0.0623,0.7351,1.0628,0
