CityName,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atlanta,90,1547766900,100,33.7491,-84.3902,46.94,4.7
Austin,1,1547765760,39,30.2711,-97.7437,73.94,3.36
Baltimore,90,1547767380,65,39.2909,-76.6108,37.04,4.27
Birmingham,90,1547766900,92,33.5207,-86.8025,50.0,5.82
Boston,40,1547765760,33,42.3603,-71.0583,26.06,5.82
Buffalo,75,1547766000,62,42.8867,-78.8784,28.94,6.93
Charlotte,90,1547766900,88,35.2271,-80.8432,46.4,4.7
Chicago,90,1547766900,92,41.8756,-87.6245,35.06,3.36
Cincinnati,90,1547766960,98,39.1015,-84.5125,39.02,4.7
Cleveland,90,1547767680,88,41.5052,-81.6935,32.0,9.17
Columbus,90,1547766900,96,32.461,-84.9878,57.02,1.36
Dallas,1,1547766900,64,32.7763,-96.7969,57.92,5.82
Denver,1,1547766900,42,39.7392,-104.9848,53.24,3.87
Detroit,90,1547767200,92,42.3487,-83.0568,30.92,4.7
Hartford,20,1547765760,39,41.7645,-72.6909,26.6,3.53
Houston,1,1547766900,68,29.7589,-95.3677,69.08,6.93
Indianapolis,90,1547767020,96,39.7683,-86.1584,37.4,8.05
Jacksonville,1,1547766900,58,30.3322,-81.6557,59.0,2.71
Kansas City,90,1547766900,91,39.0845,-94.5631,35.06,3.87
Las Vegas,90,1547766900,82,36.1663,-115.1493,62.96,8.05
Los Angeles,90,1547766600,100,34.0549,-118.2445,64.04,9.17
Louisville,90,1547766960,85,38.2542,-85.7595,46.04,6.93
Memphis,90,1547767920,100,35.149,-90.0517,55.04,6.22
Miami,75,1547765580,70,25.7743,-80.1937,71.96,6.93
Milwaukee,90,1547766900,91,43.035,-87.9225,35.06,5.82
Minneapolis,1,1547766960,67,44.9773,-93.2655,21.56,6.93
Nashville,90,1547766900,100,36.1622,-86.7744,46.4,3.36
New Orleans,75,1547766900,87,29.9499,-90.0702,67.64,8.05
New York,1,1547767620,56,40.7306,-73.9867,32.0,4.54
Oklahoma City,1,1547767200,70,35.473,-97.5171,50.9,4.7
Orlando,75,1547765760,60,28.5421,-81.3791,69.08,4.7
Philadelphia,90,1547768100,60,39.9524,-75.1636,32.0,3.36
Phoenix,90,1547766900,52,33.4486,-112.0774,68.0,2.59
Pittsburgh,90,1547766540,100,40.4417,-79.9901,30.2,4.7
Portland,90,1547765760,56,45.5202,-122.6742,53.96,25.28
Providence,1,1547765760,37,41.824,-71.4129,28.4,3.36
Raleigh,90,1547766600,75,35.7804,-78.6391,48.74,4.09
Richmond,1,1547768100,62,49.1633,-123.137,53.96,14.99
Riverside,90,1547766900,89,33.9534,-117.3962,62.96,16.11
Sacramento,90,1547766900,67,38.5816,-121.4944,59.0,21.92
Salt Lake City,90,1547766900,64,40.767,-111.8905,39.02,13.87
San Antonio,0,1547766000,77,-33.5809,-71.6133,68.0,4.7
San Diego,90,1547767080,92,32.7174,-117.1628,62.96,11.41
San Francisco,90,1547766900,64,37.7793,-122.4193,60.8,10.29
San Jose,64,1547768054,78,15.7917,120.9891,71.3,5.77
Seattle,90,1547766900,54,47.6038,-122.3301,55.94,13.87
St. Louis,90,1547767560,93,38.6273,-90.1979,40.64,4.7
Tampa,90,1547768100,67,27.9478,-82.4585,68.0,3.36
Virginia Beach,90,1547765940,67,36.853,-75.9775,43.16,5.82
Washington DC.,90,1547767980,69,38.895,-77.0367,37.94,3.36
