RegionID,RegionName,SizeRank,CBSAName,CBSACode,Month,CBSATitle,Nielsen HH Rank,hrank,Hotness Rank M/M,Hotness Rank Y/Y,hscore,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),MedListPrice,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Quality Flag
394492,"Columbus, OH",32,"Columbus, OH",18140.0,201812.0,"Columbus, OH",31.0,4.0,-1.0,5.0,94.481605,91.63879599,97.32441472,59.0,8.75,0.1741,-1.0,-0.0167,-21.0,0.0,-0.0569,1.9016,229900.0,-0.0402,0.0455,0.7955,0.0
395057,"San Francisco, CA",11,"San Francisco-Oakland-Hayward, CA",41860.0,201812.0,"San Francisco-Oakland-Hayward, CA",11.0,6.0,2.0,-4.0,94.14715699999999,99.33110368,88.9632107,51.0,13.0,0.3421,6.0,0.1333,-29.0,0.1034,-0.2381,1.5738,855000.0,-0.0431,-0.0372,2.9585,0.0
395045,"Sacramento, CA",25,"Sacramento--Roseville--Arden-Arcade, CA",40900.0,201812.0,"Sacramento--Roseville--Arden-Arcade, CA",29.0,7.0,0.0,0.0,93.478261,91.63879599,95.31772575,59.0,8.0,0.1569,1.0,0.0172,-21.0,0.0863,0.0094,1.7541,449000.0,0.009000000000000001,0.0228,1.5536,0.0
394404,"Boston, MA",10,"Boston-Cambridge-Newton, MA-NH",14460.0,201812.0,"Boston-Cambridge-Newton, MA-NH",10.0,9.0,-4.0,7.0,90.635452,82.60869565,98.66220736,65.0,13.0,0.25,1.0,0.0156,-15.0,0.0268,0.2523,2.1967,499900.0,-0.0014,0.0204,1.7298,0.0
394532,"Detroit, MI",12,"Detroit-Warren-Dearborn, MI",19820.0,201812.0,"Detroit-Warren-Dearborn, MI",12.0,13.0,-4.0,4.0,88.12709,91.63879599,84.61538462,59.0,11.5,0.2421,-2.0,-0.0328,-21.0,-0.0265,-0.0213,1.5082,220000.0,-0.0276,0.0633,0.7612,0.0
394514,"Dallas-Fort Worth, TX",4,"Dallas-Fort Worth-Arlington, TX",19100.0,201812.0,"Dallas-Fort Worth-Arlington, TX",4.0,15.0,14.0,-4.0,87.792642,82.60869565,92.97658863,65.0,7.0,0.1207,6.0,0.1017,-15.0,0.0256,-0.0196,1.6393,332590.0,-0.006999999999999999,-0.0215,1.1508,0.0
394902,"Nashville, TN",37,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980.0,201812.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",35.0,16.0,8.0,9.0,87.45819399999999,97.65886288,77.25752508,52.0,6.5,0.1429,6.0,0.1304,-28.0,0.0241,0.1972,1.3934,349900.0,0.0,-0.0213,1.2107,0.0
394807,"Louisville-Jefferson County, KY",43,"Louisville/Jefferson County, KY-IN",31140.0,201812.0,"Louisville/Jefferson County, KY-IN",42.0,18.0,-1.0,25.0,87.123746,86.62207358,87.62541806,62.5,9.5,0.1792,-5.5,-0.0809,-17.5,-0.0052,0.3194,1.5574,240000.0,-0.0301,0.0946,0.8304,0.0
394862,"Milwaukee, WI",39,"Milwaukee-Waukesha-West Allis, WI",33340.0,201812.0,"Milwaukee-Waukesha-West Allis, WI",38.0,22.0,4.0,32.0,86.454849,88.9632107,83.94648829,61.0,9.5,0.1845,-11.0,-0.1528,-19.0,0.0395,0.2267,1.5082,244900.0,-0.0165,0.1396,0.8474,0.0
395148,"Tampa, FL",19,"Tampa-St. Petersburg-Clearwater, FL",45300.0,201812.0,"Tampa-St. Petersburg-Clearwater, FL",17.0,28.0,10.0,-2.0,83.277592,86.95652174,79.59866221,62.0,4.0,0.069,-1.0,-0.0159,-18.0,-0.0492,0.1013,1.4262,259900.0,-0.0054,-0.0004,0.8993,0.0
394425,"Buffalo, NY",47,"Buffalo-Cheektowaga-Niagara Falls, NY",15380.0,201812.0,"Buffalo-Cheektowaga-Niagara Falls, NY",47.0,31.0,1.0,1.0,82.107023,76.92307692,87.29096990000001,67.0,8.0,0.1356,-1.0,-0.0147,-13.0,-0.0355,0.1585,1.5574,174900.0,-0.0278,0.06,0.6052,0.0
394458,"Charlotte, NC",24,"Charlotte-Concord-Gastonia, NC-SC",16740.0,201812.0,"Charlotte-Concord-Gastonia, NC-SC",24.0,32.0,13.0,29.0,81.43812700000001,72.57525084,90.30100334,69.0,7.0,0.1129,-6.0,-0.08,-11.0,0.0104,0.2125,1.5902,323268.0,-0.0068,-0.0053,1.1186,0.0
395056,"San Diego, CA",17,"San Diego-Carlsbad, CA",41740.0,201812.0,"San Diego-Carlsbad, CA",18.0,37.0,7.0,-31.0,79.598662,97.65886288,61.53846154,52.0,10.0,0.2381,3.0,0.0612,-28.0,0.0143,-0.2198,1.1639,649900.0,-0.0107,-0.0002,2.2488,0.0
394849,"Memphis, TN",41,"Memphis, TN-MS-AR",32820.0,201812.0,"Memphis, TN-MS-AR",43.0,38.0,26.0,40.0,79.431438,68.22742475,90.63545151,71.0,5.5,0.084,-4.0,-0.0533,-9.0,0.0316,0.3067,1.6066,205000.0,-0.0284,0.0864,0.7093,0.0
394466,"Cincinnati, OH",28,"Cincinnati, OH-KY-IN",17140.0,201812.0,"Cincinnati, OH-KY-IN",28.0,40.0,6.0,35.0,79.264214,85.6187291,72.909699,63.0,9.5,0.1776,-6.0,-0.087,-17.0,-0.0061,0.2857,1.3279,233500.0,-0.0253,0.086,0.8079999999999999,0.0
394976,"Phoenix, AZ",14,"Phoenix-Mesa-Scottsdale, AZ",38060.0,201812.0,"Phoenix-Mesa-Scottsdale, AZ",13.0,42.0,10.0,-2.0,78.595318,97.32441472,59.86622074,53.0,8.5,0.191,-4.0,-0.0702,-27.0,0.0145,0.129,1.1475,329900.0,-0.0001,0.0309,1.1415,0.0
394943,"Orlando, FL",27,"Orlando-Kissimmee-Sanford, FL",36740.0,201812.0,"Orlando-Kissimmee-Sanford, FL",25.0,43.0,4.0,12.0,78.42809399999999,70.90301003,85.95317726,70.0,7.5,0.12,-4.0,-0.0541,-10.0,-0.0157,0.175,1.541,299900.0,0.0,0.0135,1.0377,0.0
