CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Aberdeen,Micropolitan Statistical Area,SD,"39,936","39,835","40,602","43,097"
Aberdeen,Micropolitan Statistical Area,WA,"64,175","67,141","72,804","72,697"
Abilene,Metropolitan Statistical Area,TX,"148,004","160,273","165,248","170,219"
Ada,Micropolitan Statistical Area,OK,"34,119","35,146","37,492","38,224"
Adrian,Micropolitan Statistical Area,MI,"91,476","98,970","99,892","98,623"
Aguadilla - Isabela,Metropolitan Statistical Area,PR,"307,560","347,938","339,465","302,615"
Akron,Metropolitan Statistical Area,OH,"657,575","694,975","703,203","703,505"
Alamogordo,Micropolitan Statistical Area,NM,"51,928","62,195","63,817","65,817"
Albany,Metropolitan Statistical Area,GA,"142,968","153,825","154,049","148,234"
Albany - Lebanon,Metropolitan Statistical Area,OR,"91,227","103,079","116,672","125,047"
Albany - Schenectady - Troy (Capital District),Metropolitan Statistical Area,NY,"809,642","825,920","870,720","886,188"
Albemarle,Micropolitan Statistical Area,NC,"51,765","58,092","60,586","61,482"
Albert Lea,Micropolitan Statistical Area,MN,"33,060","32,584","31,255","30,535"
Albertville,Micropolitan Statistical Area,AL,"70,832","82,303","93,019","95,548"
Albuquerque,Metropolitan Statistical Area,NM,"599,416","729,729","887,061","910,726"
Alexander City,Micropolitan Statistical Area,AL,"49,889","53,613","53,376","51,435"
Alexandria,Metropolitan Statistical Area,LA,"149,082","145,087","153,922","153,984"
Alexandria,Micropolitan Statistical Area,MN,"28,674","32,808","36,009","37,575"
Alice,Micropolitan Statistical Area,TX,"50,597","52,417","52,620","52,144"
Allentown - Bethlehem - Easton (Lehigh Valley),Metropolitan Statistical Area,PA-NJ,"686,718","740,340","821,272","840,550"
Alma,Micropolitan Statistical Area,MI,"38,982","42,289","42,476","41,018"
Alpena,Micropolitan Statistical Area,MI,"30,605","31,297","29,598","28,462"
Altoona,Metropolitan Statistical Area,PA,"130,542","129,105","127,076","123,457"
Altus,Micropolitan Statistical Area,OK,"28,764","28,439","26,446","25,125"
Amarillo,Metropolitan Statistical Area,TX,"198,389","228,670","251,933","264,925"
Americus,Micropolitan Statistical Area,GA,"33,822","36,988","37,827","35,060"
Ames,Metropolitan Statistical Area,IA,"99,438","106,194","115,848","123,986"
Amsterdam,Micropolitan Statistical Area,NY,"51,981","49,637","50,256","49,258"
Anchorage,Metropolitan Statistical Area,AK,"266,021","319,617","380,821","400,888"
Andrews,Micropolitan Statistical Area,TX,"14,338","13,002","14,786","17,722"
Angola,Micropolitan Statistical Area,IN,"27,446","33,233","34,183","34,484"
Ann Arbor,Metropolitan Statistical Area,MI,"282,937","322,818","345,066","367,627"
Anniston - Oxford,Metropolitan Statistical Area,AL,"116,032","111,882","118,586","114,728"
Appleton,Metropolitan Statistical Area,WI,"174,801","201,773","225,666","236,126"
Arcadia,Micropolitan Statistical Area,FL,"23,865","32,204","34,862","36,862"
Ardmore,Micropolitan Statistical Area,OK,"50,707","54,440","57,147","58,224"
Arecibo,Metropolitan Statistical Area,PR,"176,430","199,750","199,471","181,643"
Arkadelphia,Micropolitan Statistical Area,AR,"21,437","23,541","22,993","22,293"
Asheville,Metropolitan Statistical Area,NC,"308,005","369,186","424,856","456,145"
Ashland,Micropolitan Statistical Area,OH,"47,507","52,516","53,139","53,628"
Ashtabula,Micropolitan Statistical Area,OH,"99,880","102,681","101,488","97,807"
Astoria,Micropolitan Statistical Area,OR,"33,301","35,634","37,029","39,182"
Atchison,Micropolitan Statistical Area,KS,"16,932","16,787","16,921","16,332"
Athens,Micropolitan Statistical Area,OH,"59,549","62,193","64,764","66,597"
Athens,Micropolitan Statistical Area,TN,"42,383","49,011","52,278","52,877"
